sybil_address,account_type
0x02c2fc79544c53dc7a6ca99792769ccda227dbbf,core
0x46cef06aaf268e1a72926f26ce0a86346d0486a6,core
0x93af9ff86f9d79c83cee02a4f18ae8a36425afa4,satellite
0x0e1f3bd013b1765a723bcb4f88181c0ac623db2d,satellite
0xf072d40f64bc56cafc696054d00c3ec8432b2f9d,satellite
0x43b18799aeb4045a560661c4712d39c149776aa0,core
0xa16f664b9074d4d7cce7dc72c285c7cfe027a4a3,satellite
0x8acccdc89deb398455052543331060f11f20feec,core
0xb56b383ca1628d6ecb25d1e93a3ba25b5d82eecc,core
0xd51ea668e560fa6c9196c5cbffb57de478bf86a2,core
0x6bdc0f1a15e327ced74ae801a462761837e02332,satellite
0xafc97e407be38317bb591838b30cad92dc892013,core
0x465a930f6df2359285c4612e11a06ddee3fb0783,core
0x7d0b4a534b87e91c134384210a21b5fa32b4a397,core
0x584b7f3d8dd732201e23d84c4850b1dcad0584b1,core
0x487a966bcb4695f7586b4e8b9d23ee1bc4f8d028,core
0x25c0651765bfb776de356ff2126d2c888eb1d743,satellite
0x63895bc8ded0c2d55ca13114725e07a2c95b3699,core
0x8a24ebd277247eb1ed174a78f8f4984770745071,satellite
0x7e6634625150b21988d3a3357072e61036547cab,core
0x44b31483395c9f751ca0efe225180c3ead344227,satellite
0x70b5846d5b45ac6f099ef5ecc4ebed43b0311d35,satellite
0x11d94e99987cb85b67c88020c61d6a12b1149703,core
0xa429cbb3625f7d6186ea2fc818410fdf163976dc,core
0x372ce21399dc38bcbbca403a2927ddcf945a1bf9,satellite
0x64535258987c5e32a3610714d7370db68c085c88,core
0xa58297f98b457a17bb1bbf31b670eaff9289b086,core
0x61452293fca52e1834840f554e9c4e64587acbe0,core
0x528b26e9f451f83da9ae9d1341cf8d1cad8f1f79,core
0x59531c30b4fd021591a1156400477658696c220a,core
0x1b1d9c9fbbb55d90909aca5dc9dd8a9cef16540e,core
0xaf6c59928d4d9c495ada09f88c5d22333dec342c,core
0x89eb1a964fa896b531c0bf8fc897be735bd2678f,core
0x3110f8d386b57cd67c487cf4608606e91ad42d7e,core
0x62cd8dd241865e65bcaf590159003e89aa27e5e7,satellite
0x484b4a14b7caa6446bf62d55f702ee312aad01a5,core
0xee37203774581cdc458fdd2bec6f9f7189d3c5f4,satellite
0x5652a12bcbb3e4de43b1a39d25c7a5191b72353c,core
0x20f446e2c72b7d1739bd053b637cf9ba618c1be0,satellite
0x64ea921b7e2e9f4b98cad7116237c75b09f05e9c,satellite
0x091e6d83518aaf7d3bcce78680e25fe05d8f32c6,core
0xba6e32d845aee2a85e8bd1b6c015d131e4b33b43,satellite
0xf57aac64da9a60becdfe9c91c089a0da05a6f232,core
0xe246d73152e8f89e86a72b969a5276cb84486abc,core
0x989baa89a0afa69fa42897e58d70339296635cdb,core
0xbae17ce144e6de3ced55dcc133d2297e559c5383,core
